Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
Just been to KFC louth asked for a…,Just been to KFC louth asked for a black tea with my meal I was told we are not doing tea any more so I drove through and went next door to mc Donald's got my meal and a tea so I will not be using KFC any more we go 15 miles each Sunday to this place so its mc Donald's now for us old pensioners I am eleargic to coffee I yold him ,1,2026-03-21,MR TERRY DIXON,louth asked black tea meal told tea drove next door mc donalds meal tea using mile sunday mc donalds u old pensioner eleargic coffee yold
Fake offer tactic,"Was craving some kfc, I downloaded the app to browse offers, so the 2 smaller collection ones are cheaper than actual menu, but the big bucket isnt??? Ridiculous!! If there was a way to add screenshots to experience I would!!",1,2026-03-21,WildWolfFury BoltArtXD,craving downloaded app browse offer smaller collection one cheaper actual menu big bucket isnt ridiculous add screenshots
Very good service and very helpful…,Very good service and very helpful excellent by wajed,5,2026-03-20,Summia Ather,service helpful excellent wajed
Andre at the KFC Kingsheath branch was…,Andre at the KFC Kingsheath branch was polite and delivered an amazing service and was efficent.,5,2026-03-20,Nikki,andre kingsheath polite delivered amazing service efficent
Gooned in the bathroom.,"Was at kfc at caernarfon road, bangor. 5 star staff, super nice. 5 star quality, nice and tender chiken, lovely seasond chips. Would give it 6.7 stars if I could. I gooned in the bathrooms.",5,2026-03-19,Thomas Pritchard,caernarfon road bangor star staff super star quality tender chiken lovely seasond chip give star could gooned bathroom
KFC Highbury is not a nice restaurant…,"KFC Highbury is not a nice restaurant so unhygienic and dirty Iended up throwing my food away also my food is cold, looks disgusting, lettuce on the burger looks like the never refresh it, I asked for a zinger meal ended up giving me a regular chicken burger. KFC Highbury stay away from it, the restaurant is also so dirty, these people who work here take some pride in what you do, disgusting. ",1,2026-03-20,Rosalind,highbury restaurant unhygienic dirty iended throwing food away food cold look disgusting lettuce burger look never refresh asked zinger meal ended giving regular burger highbury stay away restaurant dirty take pride disgusting
my chicken was very raw,"my chicken was very raw, bloody nuggets were just chicks and my chips were raw as.",1,2026-03-20,Jimmy nurtron,raw bloody nugget chick chip raw
Fast food service from katilin and very…,Fast food service from katilin and very polite 👌 ,5,2026-03-20,Stephanie Dale,fast food service katilin polite
Served pink chicken in the drive thru,"Served pink chicken in the drive thru. Messaged customer service online as I wanted a refund for just my part of the meal, not even the full meal (I didn't think that was too much to ask!) that was affected and I've been given some spiel about how they ensure chicken is cooked. But I have proof of pink chicken? 3 pieces no less, all pink inside. 
Absolute rubbish and dangerous, will never return.",1,2026-03-18,Hannah,served pink drive thru messaged customer service online wanted refund part meal full meal ask affected given spiel ensure cooked proof pink piece less pink inside absolute rubbish dangerous never return
I had a chicken wrap meal,"I had a chicken wrap meal. Not only did the wrap have very little filling, it was also burnt. The chips were disgusting. The only reason I gave one star is because I could not award zero. It will be a long time before I have another KFC.",1,2026-03-18,customer,wrap meal wrap little filling burnt chip disgusting reason gave star could award zero long another
